atomical_number,atomical_id,atommap_number,sort,atomical_bitworkc,filepath,bitworkc_number
65276,ab533ffc50f79853d9c61a4605f3fed164d5382d84ee9b4a88398b940257afbai0,53,5,ab53,53.atommap.svg,53
65280,ab2582db94d8a8ebf9e9a43132da86d3653e63dc5b8330b42bb08d634d9d8e2ci0,2,12,ab2,2.atommap.svg,2
65281,ab60ae92787b4e2b6abd46d07596006755c4473b2874c22c62ef04204e4e4d7di0,6,11,ab6,6.atommap.svg,6
65283,ab1ffa8ac34fd822c6441313b263b9a452357c79f762569c11fb5857a4afa10bi0,1,6,ab1,1.atommap.svg,1
65285,ab9a7d1d90ea5b525525c43c5a8fe723034c4d46816fecf49fe5b6da5ca5f086i0,9,5,ab9,9.atommap.svg,9
65289,ab92659e97050658b70c5d45576d764268ca7d3c9089be60497a2ea9d6fd10cbi0,9265,0,ab9265,9265.atommap.svg,9265
65290,ab7c9a7b578a36d6a9342ce64f257462bf2f76c8685f66d8f0fdb4ff90330151i0,7,7,ab7,7.atommap.svg,7
65291,ab87f71f865e5600382577dc467b01685f6a1beec3e039da3be40b30dcae3deci0,8,7,ab8,8.atommap.svg,8
65307,ab77730c9e3d1db275fe7a37217e2725e97bff97b4063a99a258d5f04bdb029fi0,7773,0,ab7773,7773.atommap.svg,7773
65312,ab201171b9c12f1bd948451756ea44a7653740c51656d67338b1bd2081108040i0,2011,0,ab2011,2011.atommap.svg,2011
65317,ab96576d0239aeb04e0899193e3f5adf2208feb9dff0118cc7c3dd176d62d57ei0,9657,0,ab9657,9657.atommap.svg,9657
65318,ab8332be7f93c977035ee1be96daeef374ee7cf66115f596a946fafa5e563297i0,8332,0,ab8332,8332.atommap.svg,8332
65319,ab219654b17ca31c27178590a0ee8cea4e2920faac49f62041ce39589813f7edi0,2196,0,ab2196,2196.atommap.svg,2196
65320,ab9663fb1a3488e0a05828be51a014bb96d1c20978d7c00f929c46568417ea52i0,9663,0,ab9663,9663.atommap.svg,9663
65324,ab826b9fc15bf3d7734b1ff2c46946770729a75ddcc96f5999d76c640d1c3b55i0,826,4,ab826,H:\users\826.atommap.svg,826
65325,ab89983c3378b28686f2138656ceba31c6ef99c23b8f3e1d9249e2d492650f7bi0,8998,1,ab8998,C:\8998.atommap.svg,8998
65326,ab49629bf938449ae2ac5b0433bb746502862e161a7fb28d4b08f2540f76fd7di0,4962,0,ab4962,4962.atommap.svg,4962
65327,ab510856a8a20dfedbea96ca230809a419dffc48013cd5b6c806b101c0a26f8di0,5108,0,ab5108,5108.atommap.svg,5108
65328,ab95348f7266cf3e658e4c105a119e1f115440a4d78877d80c75fc8cdc497ce6i0,9534,0,ab9534,9534.atommap.svg,9534
65329,ab8369d4ef1099caa778da224a7340520fadaa09b2effd605cbcbefc07518272i0,8369,0,ab8369,8369.atommap.svg,8369
65330,ab31007c0b8118317a43a2abe0ebe578fab955d1de5e2acdd61cff983e4ed60di0,3100,0,ab3100,3100.atommap.svg,3100
65331,ab4081df0ae33ec5573fa1a73e4d32489b9d59ce4630c908cb13a5c9b676bba1i0,408,1,ab408,408.atommap.svg,408
65346,ab8917fa61a2086f84defcc62836024070f3c9e2d1721bc3cc5030f1fbb491aci0,8917,0,ab8917,8917.atommap.svg,8917
65347,ab108935fd3db913310dd68de0c1168040c8b683004bbc5404ddc9d6faebbb72i0,1089,0,ab1089,1089.atommap.svg,1089
65349,ab6614aa04f6593c7ce591542252759a2ab63f333c181762d7a7224d603d00f2i0,66,11,ab66,66.atommap.svg,66
65350,ab100693430c3a6e30dfb28602f776c735ea0901e655b40db2459290c2f2682ai0,1006,0,ab1006,1006.atommap.svg,1006
65364,ab99737ffa2cadf204d150d1c35effc547af36fc4b8ffb963a27d198bba882e9i0,99,11,ab99,99.atommap.svg,99
65365,ab55fdfa306506be72fd2a13e30772316a82f6ebf15088bef8f8ad9834194489i0,55,5,ab55,55.atommap.svg,55
65368,ab296da2539ccec5a670ae35740843ee90d107888c7bc303f88357296d033511i0,296,1,ab296,296.atommap.svg,296
65369,ab3677d69648c81e9b182eaa3ad8743fef5fc2d4d1f8784c9fdd4d65172a3189i0,3677,0,ab3677,3677.atommap.svg,3677
65382,ab01d0f5395020612b16cd18ec05e01b67cdfde5a5abdc785409691d160149e4i0,0,12,ab0,0.atommap.svg,0
65383,ab363602f789c5776160640c600f60b23bc1b02b2fe1377fbda833e03646dc88i0,3636,0,ab3636,3636.atommap.svg,3636
65384,ab52eea9447eb7414dd3ada17ab23c7efa89977e6efd10b510cd080e089c496fi0,5,4,ab5,5.atommap.svg,5
65385,ab3398a59b25c9e0d8a20f83da9fbba5a6e345d67ee7a417559282a4bd4a5c86i0,3398,0,ab3398,3398.atommap.svg,3398
65386,ab3117235045bd4ff09d57be9ae8bd6289ef9eb801a448b5068ae51ff32f0e94i0,3,7,ab3,3.atommap.svg,3
65387,ab0adcd768a462f162abc0253193e5a0f20578d5b35a65b8d52fbd344f3a536ei0,0,13,ab0,0.atommap.svg,0
65396,ab5167331b9409b65b3b3b5ad43328375647b08f41600ed28dd01149adc1f65ci0,5167,0,ab5167,5167.atommap.svg,5167
65415,ab8999bdf353eb0f6cf71412c7988baf929cd20ba0b613b3c84342cb13c93b81i0,8999,1,ab8999,8999.atommap.svg,8999
65420,ab113140b66b326046b0df9c5006c21625a47fe9bdb12eaeef0d65743d3a4532i0,1131,0,ab1131,1131.atommap.svg,1131
65424,ab4566b5973fd4bba2fd43f38723a4798fc5e715a8e9acd3b25693b80440f5b3i0,4566,0,ab4566,4566.atommap.svg,4566
65425,ab699631fbf14f234bb5a6ed636d8086095ae5edeb587d7206307035a5993467i0,6996,1,ab6996,6996.atommap.svg,6996
